STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,CLDD,DPNP,DPNT,HTDD,DT90,DX32,DT00,DT32,DP01,DP05,DP10,EMXP,MXSD,DSNW,TPCP,TSNW,EMXT,EMNT,MMXT,MMNT,MNTM
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,193610,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,492,0,76,20,604,400,502
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,193611,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,270,65,69,1,416,226,321
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,193612,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,55,1,365,167,266
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,193701,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,10,54,1,369,195,282
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,193702,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,121,54,52,1,335,189,262
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,193703,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,140,44,6,350,166,258
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,193704,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,126,20,68,22,526,330,428
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,193705,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,553,-9999,91,33,711,474,592
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,193706,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,346,0,89,47,779,551,665
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,193707,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,292,0,96,48,842,596,719
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,193708,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,243,0,96,49,859,620,740
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,193709,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,221,0,94,36,730,491,610
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,193710,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,271,0,79,21,581,386,484
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,193711,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,333,20,58,13,450,311,380
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,193712,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,131,42,-2,308,147,228
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,193801,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,321,185,59,-20,279,104,192
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,193802,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,155,55,45,-3,325,160,242
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,193803,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,94,100,78,-19,449,225,337
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,193804,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,160,60,86,16,583,369,476
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,193805,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,179,0,79,34,676,439,558
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,193806,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,284,0,98,46,827,557,692
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,193807,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,578,0,90,50,823,617,720
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,193808,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,741,0,94,45,837,613,725
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,193809,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,752,0,79,34,682,469,576
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,193810,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,118,0,80,28,632,413,522
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,193811,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,250,90,75,-5,494,312,403
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,193812,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,390,65,47,-5,346,194,270
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,193901,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,207,200,47,-18,281,109,195
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,193902,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,345,185,53,-9,330,105,218
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,193903,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,329,145,52,-7,358,177,268
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,193904,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,419,145,65,19,493,315,404
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,193905,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,364,0,84,31,702,454,578
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,193906,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,437,0,90,40,763,548,656
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,193907,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,73,0,98,45,836,592,714
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,193908,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,190,0,93,53,860,610,735
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,193909,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,398,0,93,30,748,488,618
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,193910,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,314,0,80,21,590,395,492
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,193911,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,95,15,53,14,428,247,338
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,193912,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,329,85,49,-3,320,184,252
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,194001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,33,39,-9,224,53,139
